patient_id,canonical_fold,is_internal_test
1151,1,False
1152,2,False
1153,3,False
1154,2,False
1155,3,False
1156,4,False
1157,3,False
1158,4,False
1159,4,False
1160,1,False
1161,3,True
1162,0,False
1163,1,False
1164,2,True
1165,4,False
1166,0,False
1167,4,False
1168,1,False
1169,4,False
1170,1,False
1171,3,True
1172,1,False
1173,1,False
1174,1,False
1175,2,False
1176,0,False
1177,0,False
1178,2,True
1179,0,False
1180,0,False
1181,1,False
1182,3,False
1183,4,False
1184,3,False
1185,2,False
1186,0,False
1187,2,True
1188,1,False
1189,0,True
1190,0,True
1191,0,False
1192,3,False
1193,2,True
1194,3,False
1195,1,False
1196,2,False
1197,2,False
1198,3,False
1199,1,True
1200,0,False
1201,1,False
1202,0,False
1203,3,True
1204,3,False
1205,4,False
1206,2,False
1207,2,False
1208,1,True
1209,1,True
1210,4,True
1211,4,True
1212,0,False
1213,2,False
1214,0,False
1215,1,True
1216,0,False
1217,0,False
1218,4,False
1219,1,False
1220,2,False
1221,0,False
1222,1,False
1223,3,False
1224,1,False
1225,2,False
1226,0,False
1227,4,False
1228,0,False
1229,0,False
1230,4,False
1231,4,True
1232,3,True
1233,0,False
1234,0,False
1235,0,True
1236,1,False
1237,1,True
1238,1,False
1239,0,False
1240,0,False
1241,0,True
1242,4,False
1243,2,False
1244,1,False
1245,1,False
1246,4,False
1247,4,False
1248,0,False
1249,0,False
1250,1,False
1251,3,False
1252,1,False
1253,3,False
1254,1,True
1255,0,False
1256,0,False
1257,0,False
1258,2,False
1259,0,False
1260,1,False
1261,3,False
1262,3,False
1263,3,False
1264,2,False
1265,0,False
1266,2,False
1267,2,False
1268,1,False
1269,0,True
1270,4,True
1271,3,False
1272,4,False
1273,3,True
1274,2,True
1275,0,False
1276,1,False
1277,1,False
1278,0,True
1279,4,False
1280,3,False
1281,2,False
1282,3,True
1283,3,False
1284,0,False
1285,2,True
1286,4,False
1287,2,False
1288,1,False
1289,3,False
1290,4,True
1291,2,False
1292,1,False
1293,1,False
1294,4,False
1295,0,False
1296,4,False
1297,4,False
1298,2,False
1299,1,False
1300,3,False
1301,2,False
1302,0,False
1303,0,False
1304,3,False
1305,1,False
1306,2,False
1307,2,False
1308,2,False
1309,1,False
1310,4,False
1311,4,False
1312,3,False
1313,1,True
1314,3,False
1315,2,False
1316,4,True
1317,3,False
1318,2,False
1319,1,False
1320,1,True
1321,0,True
1322,1,False
1323,3,False
1324,2,False
1325,1,False
1326,3,False
1327,0,False
1328,2,False
1329,2,False
1330,0,False
1331,2,False
1332,1,False
1333,2,False
1334,3,False
1335,1,False
1336,4,False
1337,2,False
1338,1,False
1339,4,False
1340,3,False
1341,0,False
1342,3,False
1343,1,True
1344,4,False
1345,2,True
1346,3,False
1347,2,False
1348,1,False
1349,2,True
1350,4,False
1351,1,False
1352,2,False
1353,2,True
1354,1,False
1355,0,False
1356,1,False
1357,0,False
1358,1,True
1359,4,False
1360,0,False
1361,2,False
1362,2,False
1363,3,False
1364,3,False
1365,3,True
1366,3,False
1367,2,False
1368,3,False
1369,0,False
1370,4,True
1371,3,False
1372,0,False
1373,4,False
1374,4,True
1375,0,False
1376,4,False
1377,4,False
1378,1,False
1379,2,False
1380,0,False
1381,4,False
1382,1,False
1383,3,False
1384,1,False
1385,4,False
1386,4,False
1387,1,False
1388,2,False
1389,1,True
1390,4,False
1391,4,False
1392,4,False
1393,2,False
1394,2,False
1395,2,False
1396,2,True
1397,3,False
1398,4,False
1399,2,False
1400,0,False
1401,2,False
1402,2,False
1403,0,False
1404,0,False
1405,2,False
1406,3,False
1407,3,False
1408,2,False
1409,1,False
1410,0,False
1411,1,False
1412,1,False
1413,3,False
1414,2,False
1415,0,False
1416,3,False
1417,4,True
1418,1,True
1419,2,False
1420,0,False
1421,4,False
1422,4,False
1423,3,False
1424,0,False
1425,4,False
1426,4,False
1427,3,False
1428,3,False
1429,1,False
1430,2,False
1432,2,True
1433,1,False
1434,0,False
1435,1,False
1436,0,True
1437,1,False
1438,3,False
1439,1,False
1440,1,False
1441,0,False
1442,4,False
1443,3,True
1444,1,False
1445,4,False
1446,1,False
1447,3,False
1448,2,False
1449,2,False
1450,4,False
1451,3,False
1452,0,False
1453,4,True
1454,3,False
1455,4,False
1456,3,False
1457,2,True
1458,2,False
1459,4,False
1460,1,True
1461,0,False
1462,3,False
1463,3,True
1464,4,False
1465,3,False
1466,3,True
1467,4,False
1468,3,False
1469,2,False
1470,1,False
1471,1,False
1472,1,False
1473,0,False
1474,4,True
1475,1,False
1476,3,False
1477,3,False
1478,0,False
1479,2,False
1480,3,False
1481,4,True
1482,4,False
1483,1,False
1484,3,False
1485,3,False
1486,1,False
1487,4,False
1488,2,True
1489,2,False
1490,4,False
1491,0,True
1492,0,False
1493,3,False
1494,1,False
1495,2,False
1496,2,False
1497,0,False
1498,4,False
1499,4,True
1500,0,False
1501,3,False
1502,0,False
1503,2,False
1504,0,False
1505,0,False
1506,2,False
2001,0,False
2002,3,True
2003,4,False
2004,4,False
2005,0,False
2007,3,False
2008,3,False
2009,1,True
2010,2,False
2011,0,False
2012,1,True
2014,2,False
2015,0,False
2016,1,False
2017,2,True
2018,0,False
2019,4,False
2020,3,False
2021,4,False
2022,1,False
2023,0,False
2024,4,False
2026,2,False
2027,0,False
2028,4,False
2029,0,False
2030,4,False
2031,4,False
2032,4,False
2033,0,False
2034,4,False
2035,2,False
2036,4,False
2037,4,True
2038,0,False
2039,1,False
2040,4,False
2041,3,False
2042,3,False
2043,3,False
2044,2,False
2045,2,True
2046,2,False
